,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
81,Gnoster,Default,West of Warmaster's Shack,,Smelter Demon,Dragonkin Soldier,,South Lake,Northwest of Castle,Trolls,Great Church - Oracle Envoys,Ruins - Depraved Perfumer,Fort - Guardian Golem,Great Church - Mausoleum Knight,Fort - Crystalians,Camp - Frenzied Flame Troll,Ruins - Depraved Perfumer,Camp - Leonine Misbegotten,Ruins - Depraved Perfumer,Ruins - Runebear,Camp - Royal Army Knights,Fort - Guardian Golem,Ruins - Runebear,Ruins - Runebear,Camp - Royal Army Knights,Ruins - Beastmen of Farum Azula,Small Camp - Dogs,Small Camp - Dogs,Small Camp - Dogs,Church - Normal,Church - Rats,Church - Normal,Small Camp - Caravans,Small Camp - Dogs,Small Camp - Guilty,Church - Normal,Sorcerer's Rise - Imp Statue,Crucible Knight with Sword,Beastmen of Farum Azula,Stoneskin Lords,Dragonkin Soldier,Banished Knights,Bloodhound Knight,Beastly Brigade,Red Wolf,Tree Sentinel,Leonine Misbegotten,Ancestor Spirit,Erdtree Avatar,Ancient Hero of Zamor,Royal Revenant,Elder Lion,Grafted Scion,Flying Dragon,Demi-Human Queen,Royal Carian Knight,,,,,,,,,,,
82,Gnoster,Default,Northeast of Saintsbridge,Day 2 Maris Bubbles,Smelter Demon,Dragonkin Soldier,,South Lake,West Stormhill Graveyard,Banished Knights,Fort - Guardian Golem,Camp - Royal Army Knights,Ruins - Runebear,Ruins - Albinauric Archers,Ruins - Runebear,Camp - Banished Knights,Ruins - Albinauric Archers,Ruins - Depraved Perfumer,Great Church - Fire Monk,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Ruins - Depraved Perfumer,Great Church - Fire Monk,Camp - Leonine Misbegotten,Great Church - Guardian Golem,Camp - Royal Army Knights,Small Camp - Dogs and Soldiers,Small Camp - Caravans,Church - Normal,Township - Township,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Fleeing Stump,Small Camp - Soldiers,Church - Normal,Church - Rats,Dragonkin Soldier,Crucible Knight with Sword,Crystalians,Omen,Nox Warriors,Grave Warden Duelist,Banished Knights,Royal Revenant,Ancestor Spirit,Demi-Human Queen,Flying Dragon,Black Knife Assassin,Leonine Misbegotten,Black Blade Kindred,Miranda Blossom,Elder Lion,Erdtree Avatar,Magma Wyrm,Grafted Scion,,,,,,,,,,,
83,Gnoster,Default,Above Stormhill Tunnel Entrance,Frenzy Tower,Battlefield Commander,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast of Lake,Southwest Corner,Trolls,Ruins - Runebear,Ruins - Ancient Heroes of Zamor,Ruins - Runebear,Fort - Guardian Golem,Great Church - Mausoleum Knight,Ruins - Erdtree Burial Watchdogs,Ruins - Runebear,Camp - Leonine Misbegotten,Fort - Crystalians,Ruins - Runebear,Great Church - Oracle Envoys,Ruins - Ancient Heroes of Zamor,Ruins - Erdtree Burial Watchdogs,Camp - Banished Knights,Ruins - Erdtree Burial Watchdogs,Camp - Royal Army Knights,Church - Normal,Sorcerer's Rise - Windy Trees,Small Camp - Caravans,Small Camp - Nobles and Soldiers,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Withered Trees,Small Camp - Misbegotten,Township - Township,Church - Normal,Small Camp - Guilty,Church - Normal,Beastmen of Farum Azula,Beastly Brigade,Crystalians,Crucible Knight with Sword,Stoneskin Lords,Dragonkin Soldier,Bloodhound Knight,Royal Revenant,Tree Sentinel,Erdtree Avatar,Demi-Human Queen,Red Wolf,Leonine Misbegotten,Grafted Scion,Bell Bearing Hunter,Night's Cavalry,Flying Dragon,Magma Wyrm,Black Knife Assassin,,,,,,,,,,South,
84,Gnoster,Default,Minor Erdtree,,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,East of Saintsbridge,Trolls,Camp - Banished Knights,Camp - Flame Chariots,Ruins - Runebear,Ruins - Runebear,Ruins - Depraved Perfumer,Camp - Banished Knights,Great Church - Mausoleum Knight,Great Church - Oracle Envoys,Ruins - Depraved Perfumer,Fort - Abductor Virgin,Ruins - Runebear,Great Church - Mausoleum Knight,Camp - Leonine Misbegotten,Fort - Crystalians,Ruins - Wormface,Ruins - Runebear,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Missing Statue,Church - Normal,Small Camp - Misbegotten,Township - Township,Sorcerer's Rise - Pool Reflection,Small Camp - Wandering Nobles,Small Camp - Dogs,Church - Normal,Small Camp - Caravans,Godskin Apostle,Banished Knights,Omen,Nox Warriors,Crucible Knight with Spear,Beastmen of Farum Azula,Stoneskin Lords,Ancient Hero of Zamor,Bell Bearing Hunter,Black Blade Kindred,Demi-Human Queen,Black Knife Assassin,Grafted Scion,Red Wolf,Ancestor Spirit,Miranda Blossom,Magma Wyrm,Tree Sentinel,Golden Hippopotamus,,,,,,,,,,,
85,Gnoster,Default,Minor Erdtree,Day 2 Morgott Invasion,Tibia Mariner,Dragonkin Soldier,,Southwest Mistwood,West Stormhill Graveyard,Trolls,Camp - Flame Chariots,Ruins - Albinauric Archers,Ruins - Perfumer,Ruins - Perfumer,Ruins - Perfumer,Camp - Frenzied Flame Troll,Ruins - Albinauric Archers,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Great Church - Guardian Golem,Ruins - Runebear,Ruins - Perfumer,Fort - Crystalians,Camp - Elder Lion,Great Church - Fire Monk,Ruins - Albinauric Archers,Small Camp - Misbegotten,Church - Normal,Sorcerer's Rise - Withered Trees,Church - Normal,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Fleeing Stump,Small Camp - Demi-Humans,Small Camp - Misbegotten,Church - Normal,Small Camp - Dogs and Soldiers,Crucible Knight with Sword,Grave Warden Duelist,Nox Warriors,Crucible Knight with Spear,Crystalians,Godskin Duo,Beastmen of Farum Azula,Leonine Misbegotten,Ulcerated Tree Spirit,Golden Hippopotamus,Black Knife Assassin,Red Wolf,Bell Bearing Hunter,Ancient Hero of Zamor,Death Rite Bird,Tree Sentinel,Demi-Human Queen,Magma Wyrm,Miranda Blossom,,,,,,,,,,,Northeast Corner
86,Gnoster,Default,East of Cavalry Bridge,,Smelter Demon,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast Corner,Northwest Corner,Crucible Knights,Ruins - Wormface,Fort - Guardian Golem,Camp - Elder Lion,Great Church - Guardian Golem,Ruins - Battlemages,Camp - Frenzied Flame Troll,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Great Church - Oracle Envoys,Camp - Frenzied Flame Troll,Camp - Frenzied Flame Troll,Ruins - Battlemages,Ruins - Battlemages,Camp - Frenzied Flame Troll,Fort - Abductor Virgin,Camp - Leonine Misbegotten,Small Camp - Caravans,Church - Normal,Church - Normal,Church - Normal,Small Camp - Misbegotten,Small Camp - Caravans,Small Camp - Demi-Humans,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Unlit Candle,Small Camp - Misbegotten,Township - Township,Beastly Brigade,Godskin Noble,Crystalians,Crucible Knight with Sword,Banished Knights,Omen,Nox Warriors,Royal Revenant,Ulcerated Tree Spirit,Grafted Scion,Royal Carian Knight,Elder Lion,Leonine Misbegotten,Death Rite Bird,Black Knife Assassin,Miranda Blossom,Bell Bearing Hunter,Ancient Hero of Zamor,Flying Dragon,,,,,,,,,,,
87,Gnoster,Default,East of Cavalry Bridge,,Battlefield Commander,Draconic Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast of Lake,Trolls,Fort - Crystalians,Camp - Frenzied Flame Troll,Great Church - Mausoleum Knight,Ruins - Sanguine Noble,Ruins - Battlemages,Camp - Royal Army Knights,Camp - Leonine Misbegotten,Great Church - Mausoleum Knight,Fort - Crystalians,Ruins - Ancient Heroes of Zamor,Ruins - Ancient Heroes of Zamor,Ruins - Battlemages,Great Church - Fire Monk,Fort - Guardian Golem,Camp - Royal Army Knights,Ruins - Ancient Heroes of Zamor,Small Camp - Caravans,Church - Normal,Church - Normal,Sorcerer's Rise - Windy Trees,Sorcerer's Rise - Above Door,Small Camp - Dogs and Soldiers,Small Camp - Shack,Small Camp - Soldiers,Church - Normal,Sorcerer's Rise - Pool Reflection,Township - Township,Nox Warriors,Crucible Knight with Sword,Crystalians,Beastmen of Farum Azula,Dragonkin Soldier,Grave Warden Duelist,Stoneskin Lords,Ancient Hero of Zamor,Black Blade Kindred,Night's Cavalry,Tree Sentinel,Red Wolf,Grafted Scion,Magma Wyrm,Miranda Blossom,Black Knife Assassin,Flying Dragon,Royal Carian Knight,Elder Lion,,,,,,,,,,,
88,Gnoster,Default,Southeast of Lake,Day 1 Morgott Invasion,Ulcerated Tree Spirit,Great Wyrm,,Northwest Mistwood Pond,Northwest Corner,Trolls,Camp - Frenzied Flame Troll,Great Church - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Ruins - Depraved Perfumer,Camp - Elder Lion,Fort - Abductor Virgin,Camp - Elder Lion,Camp - Royal Army Knights,Fort - Abductor Virgin,Great Church - Oracle Envoys,Ruins - Depraved Perfumer,Ruins - Battlemages,Fort - Lordsworn Captain,Camp - Frenzied Flame Troll,Ruins - Battlemages,Great Church - Guardian Golem,Church - Normal,Small Camp - Caravans,Small Camp - Dogs,Township - Township,Sorcerer's Rise - Above Door,Small Camp - Foot Soldiers,Small Camp - Caravans,Sorcerer's Rise - Withered Trees,Church - Normal,Small Camp - Misbegotten,Church - Normal,Crucible Knight with Spear,Omen,Stoneskin Lords,Crystalians,Grave Warden Duelist,Bloodhound Knight,Dragonkin Soldier,Leonine Misbegotten,Royal Carian Knight,Ancient Hero of Zamor,Night's Cavalry,Golden Hippopotamus,Draconic Tree Sentinel,Miranda Blossom,Death Rite Bird,Demi-Human Queen,Erdtree Avatar,Bell Bearing Hunter,Elder Lion,,,,,,,,,,,
89,Gnoster,Default,Southeast of Lake,,Smelter Demon,Dragonkin Soldier,,Northeast Corner,Northwest of Castle,Trolls,Camp - Royal Army Knights,Fort - Abductor Virgin,Ruins - Erdtree Burial Watchdogs,Ruins - Runebear,Ruins - Runebear,Great Church - Fire Monk,Camp - Redmane Knights,Fort - Abductor Virgin,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Camp - Flame Chariots,Camp - Flame Chariots,Fort - Crystalians,Ruins - Albinaurics,Great Church - Fire Monk,Camp - Flame Chariots,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Guilty,Church - Normal,Sorcerer's Rise - Unlit Candle,Small Camp - Caravans and Nobles,Small Camp - Dogs and Soldiers,Small Camp - Caravans,Church - Normal,Township - Township,Small Camp - Caravans,Banished Knights,Crystalians,Beastmen of Farum Azula,Crucible Knight with Spear,Bloodhound Knight,Crucible Knight with Sword,Omen,Red Wolf,Bell Bearing Hunter,Demi-Human Queen,Flying Dragon,Night's Cavalry,Ancestor Spirit,Grafted Scion,Ulcerated Tree Spirit,Ancient Hero of Zamor,Golden Hippopotamus,Erdtree Avatar,Elder Lion,,,,,,,,,,,
90,Gnoster,Default,Stormhill South of Gate,Difficult Sorcerer's Rise,Centipede Demon,Dragonkin Soldier,,Northwest Lake,Northwest Mistwood Pond,Banished Knights,Great Church - Mausoleum Knight,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,Ruins - Erdtree Burial Watchdogs,Ruins - Battlemages,Fort - Abductor Virgin,Fort - Lordsworn Captain,Great Church - Mausoleum Knight,Camp - Redmane Knights,Ruins - Erdtree Burial Watchdogs,Camp - Redmane Knights,Great Church - Oracle Envoys,Camp - Leonine Misbegotten,Camp - Leonine Misbegotten,Camp - Flame Chariots,Ruins - Perfumer,Small Camp - Misbegotten,Church - Normal,Small Camp - Nobles and Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Withered Trees,"Difficult Sorcerer's Rise - Rear Withered Trees, Right of Door, Missing Statue",Small Camp - Caravans,Small Camp - Soldiers,Sorcerer's Rise - Fog Door,Church - Normal,Church - Normal,Grave Warden Duelist,Nox Warriors,Omen,Bloodhound Knight,Crucible Knight with Sword,Stoneskin Lords,Crucible Knight with Spear,Leonine Misbegotten,Draconic Tree Sentinel,Ancient Hero of Zamor,Demi-Human Queen,Erdtree Avatar,Golden Hippopotamus,Magma Wyrm,Grafted Scion,Death Rite Bird,Black Knife Assassin,Elder Lion,Black Blade Kindred,,,,,,,,,,,
91,Gnoster,Default,Southeast of Lake,,Centipede Demon,Great Wyrm,,East of Saintsbridge,Southwest Corner,Crucible Knights,Ruins - Beastmen of Farum Azula,Camp - Leonine Misbegotten,Fort - Crystalians,Ruins - Albinauric Archers,Ruins - Beastmen of Farum Azula,Fort - Crystalians,Ruins - Albinauric Archers,Great Church - Fire Monk,Great Church - Guardian Golem,Camp - Elder Lion,Fort - Lordsworn Captain,Great Church - Fire Monk,Ruins - Albinauric Archers,Ruins - Wormface,Camp - Redmane Knights,Fort - Crystalians,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Dogs,Small Camp - Demi-Humans,Church - Normal,Township - Township,Sorcerer's Rise - Fake Building,Small Camp - Caravans,Small Camp - Misbegotten,Bloodhound Knight,Dragonkin Soldier,Godskin Duo,Beastmen of Farum Azula,Godskin Apostle,Banished Knights,Grave Warden Duelist,Red Wolf,Black Blade Kindred,Flying Dragon,Miranda Blossom,Leonine Misbegotten,Golden Hippopotamus,Erdtree Avatar,Grafted Scion,Demi-Human Queen,Draconic Tree Sentinel,Royal Revenant,Tree Sentinel,,,,,,,,,,,
92,Gnoster,Default,Below Summonwater Hawk,,Battlefield Commander,Dragonkin Soldier,,East of Saintsbridge,Northwest Corner,Banished Knights,Camp - Elder Lion,Ruins - Battlemages,Ruins - Runebear,Fort - Guardian Golem,Fort - Lordsworn Captain,Camp - Flame Chariots,Ruins - Albinaurics,Ruins - Battlemages,Ruins - Albinaurics,Ruins - Battlemages,Ruins - Albinaurics,Great Church - Mausoleum Knight,Ruins - Runebear,Camp - Royal Army Knights,Great Church - Oracle Envoys,Camp - Flame Chariots,Sorcerer's Rise - Unlit Candle,Church - Normal,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Withered Trees,Small Camp - Dogs,Small Camp - Shack,Church - Normal,Small Camp - Dogs,Dragonkin Soldier,Omen,Stoneskin Lords,Banished Knights,Godskin Noble,Grave Warden Duelist,Nox Warriors,Ancient Hero of Zamor,Royal Carian Knight,Ulcerated Tree Spirit,Leonine Misbegotten,Demi-Human Queen,Tree Sentinel,Golden Hippopotamus,Magma Wyrm,Grafted Scion,Royal Revenant,Draconic Tree Sentinel,Elder Lion,,,,,,,,,,,
93,Gnoster,Default,Below Summonwater Hawk,,Ulcerated Tree Spirit,Great Wyrm,,Northwest Corner,Northwest of Castle,Trolls,Fort - Abductor Virgin,Camp - Banished Knights,Ruins - Depraved Perfumer,Fort - Guardian Golem,Camp - Royal Army Knights,Ruins - Erdtree Burial Watchdogs,Ruins - Erdtree Burial Watchdogs,Great Church - Fire Monk,Ruins - Sanguine Noble,Fort - Guardian Golem,Ruins - Depraved Perfumer,Great Church - Oracle Envoys,Camp - Banished Knights,Camp - Elder Lion,Ruins - Depraved Perfumer,Fort - Guardian Golem,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Pool Reflection,Sorcerer's Rise - Windy Trees,Small Camp - Dogs and Soldiers,Township - Township,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Caravans and Nobles,Church - Normal,Small Camp - Misbegotten,Godskin Noble,Grave Warden Duelist,Omen,Crucible Knight with Sword,Crystalians,Stoneskin Lords,Banished Knights,Black Knife Assassin,Tree Sentinel,Draconic Tree Sentinel,Ancient Hero of Zamor,Royal Carian Knight,Death Rite Bird,Royal Revenant,Grafted Scion,Leonine Misbegotten,Elder Lion,Erdtree Avatar,Demi-Human Queen,,,,,,,,,,,
94,Gnoster,Default,Minor Erdtree,Day 1 Maris Bubbles,Battlefield Commander,Great Wyrm,,South of Castle,Northeast Corner,Crucible Knights,Camp - Elder Lion,Fort - Guardian Golem,Ruins - Depraved Perfumer,Ruins - Wormface,Ruins - Wormface,Camp - Flame Chariots,Fort - Abductor Virgin,Fort - Guardian Golem,Ruins - Ancient Heroes of Zamor,Great Church - Fire Monk,Great Church - Oracle Envoys,Fort - Abductor Virgin,Camp - Elder Lion,Camp - Elder Lion,Camp - Leonine Misbegotten,Ruins - Ancient Heroes of Zamor,Church - Normal,Sorcerer's Rise - Fake Building,Small Camp - Soldiers,Small Camp - Misbegotten,Church - Normal,Small Camp - Caravans,Church - Normal,Small Camp - Foot Soldiers,Small Camp - Soldiers,Small Camp - Misbegotten,Small Camp - Soldiers,Dragonkin Soldier,Grave Warden Duelist,Crucible Knight with Spear,Crystalians,Beastly Brigade,Nox Warriors,Stoneskin Lords,Bell Bearing Hunter,Ancestor Spirit,Ulcerated Tree Spirit,Royal Revenant,Golden Hippopotamus,Black Blade Kindred,Grafted Scion,Demi-Human Queen,Draconic Tree Sentinel,Ancient Hero of Zamor,Royal Carian Knight,Miranda Blossom,,,,,,,,,,,Southwest Corner
95,Gnoster,Default,Below Summonwater Hawk,,Ulcerated Tree Spirit,Draconic Tree Sentinel and Royal Cavalrymen,,East of Saintsbridge,South of Castle,Trolls,Ruins - Battlemages,Ruins - Depraved Perfumer,Fort - Abductor Virgin,Camp - Banished Knights,Ruins - Wormface,Camp - Elder Lion,Camp - Banished Knights,Camp - Redmane Knights,Fort - Guardian Golem,Camp - Elder Lion,Ruins - Depraved Perfumer,Great Church - Guardian Golem,Camp - Banished Knights,Fort - Guardian Golem,Great Church - Oracle Envoys,Ruins - Depraved Perfumer,Church - Normal,Small Camp - Caravans,Small Camp - Dogs,Church - Normal,Sorcerer's Rise - Withered Trees,Small Camp - Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Pool Reflection,Small Camp - Demi-Humans,Church - Normal,Small Camp - Dogs,Beastmen of Farum Azula,Beastly Brigade,Stoneskin Lords,Nox Warriors,Godskin Apostle,Banished Knights,Crucible Knight with Sword,Grafted Scion,Ancestor Spirit,Flying Dragon,Night's Cavalry,Erdtree Avatar,Black Knife Assassin,Bell Bearing Hunter,Elder Lion,Ancient Hero of Zamor,Demi-Human Queen,Leonine Misbegotten,Black Blade Kindred,,,,,,,,,,,
96,Gnoster,Default,Far Southwest,Day 2 Maris Bubbles,Ulcerated Tree Spirit,Great Wyrm,,West Stormhill Graveyard,Southwest Mistwood,Crucible Knights,Fort - Guardian Golem,Fort - Lordsworn Captain,Camp - Redmane Knights,Camp - Redmane Knights,Ruins - Perfumer,Great Church - Fire Monk,Ruins - Perfumer,Ruins - Beastmen of Farum Azula,Camp - Elder Lion,Ruins - Erdtree Burial Watchdogs,Ruins - Beastmen of Farum Azula,Great Church - Oracle Envoys,Ruins - Perfumer,Ruins - Beastmen of Farum Azula,Camp - Royal Army Knights,Ruins - Erdtree Burial Watchdogs,Church - Rats,Township - Township,Small Camp - Dogs,Church - Normal,Sorcerer's Rise - Windy Trees,Church - Normal,Small Camp - Dogs,Church - Normal,Small Camp - Caravans,Sorcerer's Rise - Fake Building,Small Camp - Dogs and Soldiers,Stoneskin Lords,Nox Warriors,Beastly Brigade,Dragonkin Soldier,Banished Knights,Grave Warden Duelist,Godskin Apostle,Royal Revenant,Erdtree Avatar,Golden Hippopotamus,Elder Lion,Demi-Human Queen,Tree Sentinel,Black Knife Assassin,Black Blade Kindred,Leonine Misbegotten,Royal Carian Knight,Death Rite Bird,Red Wolf,,,,,,,,,,,
97,Gnoster,Default,Below Summonwater Hawk,,Centipede Demon,Great Wyrm,,West Stormhill Graveyard,Northwest Lake,Crucible Knights,Great Church - Oracle Envoys,Great Church - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Camp - Frenzied Flame Troll,Camp - Leonine Misbegotten,Fort - Lordsworn Captain,Fort - Guardian Golem,Fort - Guardian Golem,Ruins - Albinaurics,Camp - Flame Chariots,Ruins - Albinaurics,Great Church - Oracle Envoys,Ruins - Runebear,Ruins - Runebear,Ruins - Erdtree Burial Watchdogs,Ruins - Runebear,Church - Normal,Small Camp - Dogs,Sorcerer's Rise - Imp Statue,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Fog Door,Church - Normal,Sorcerer's Rise - Above Door,Church - Rats,Small Camp - Caravans,Small Camp - Caravans,Dragonkin Soldier,Stoneskin Lords,Nox Warriors,Crucible Knight with Spear,Beastly Brigade,Grave Warden Duelist,Crystalians,Ancient Hero of Zamor,Erdtree Avatar,Royal Carian Knight,Demi-Human Queen,Ancestor Spirit,Black Knife Assassin,Flying Dragon,Miranda Blossom,Golden Hippopotamus,Grafted Scion,Draconic Tree Sentinel,Leonine Misbegotten,,,,,,,,,,,East of Saintsbridge
98,Gnoster,Default,Stormhill South of Gate,,Tibia Mariner,Great Wyrm,,South of Castle,Northeast Corner,Crucible Knights,Ruins - Erdtree Burial Watchdogs,Ruins - Erdtree Burial Watchdogs,Great Church - Fire Monk,Fort - Crystalians,Camp - Banished Knights,Camp - Redmane Knights,Great Church - Guardian Golem,Camp - Flame Chariots,Camp - Redmane Knights,Ruins - Perfumer,Fort - Guardian Golem,Great Church - Guardian Golem,Ruins - Battlemages,Camp - Redmane Knights,Ruins - Erdtree Burial Watchdogs,Camp - Redmane Knights,Small Camp - Dogs,Sorcerer's Rise - Unlit Candle,Small Camp - Demi-Humans,Small Camp - Caravans,Small Camp - Guilty,Church - Normal,Church - Normal,Church - Normal,Small Camp - Guilty,Small Camp - Caravans,Small Camp - Guilty,Grave Warden Duelist,Ancient Dragon,Beastly Brigade,Godskin Noble,Stoneskin Lords,Nox Warriors,Godskin Apostle,Bell Bearing Hunter,Royal Carian Knight,Miranda Blossom,Draconic Tree Sentinel,Ulcerated Tree Spirit,Grafted Scion,Black Knife Assassin,Demi-Human Queen,Royal Revenant,Flying Dragon,Night's Cavalry,Tree Sentinel,,,,,,,,,,,
99,Gnoster,Default,Above Stormhill Tunnel Entrance,Day 1 Maris Bubbles,Centipede Demon,Draconic Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast Corner,Crucible Knights,Ruins - Albinauric Archers,Fort - Crystalians,Ruins - Albinauric Archers,Great Church - Oracle Envoys,Camp - Flame Chariots,Ruins - Albinaurics,Ruins - Perfumer,Fort - Lordsworn Captain,Camp - Banished Knights,Ruins - Perfumer,Fort - Lordsworn Captain,Camp - Elder Lion,Ruins - Perfumer,Great Church - Fire Monk,Fort - Crystalians,Great Church - Fire Monk,Church - Normal,Small Camp - Caravans,Small Camp - Caravans,Small Camp - Caravans and Nobles,Church - Normal,Church - Normal,Small Camp - Guilty,Small Camp - Dogs,Small Camp - Dogs,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Missing Statue,Godskin Noble,Dragonkin Soldier,Godskin Duo,Beastly Brigade,Nox Warriors,Crystalians,Beastmen of Farum Azula,Red Wolf,Tree Sentinel,Demi-Human Queen,Royal Carian Knight,Grafted Scion,Ulcerated Tree Spirit,Elder Lion,Death Rite Bird,Flying Dragon,Black Knife Assassin,Ancient Hero of Zamor,Miranda Blossom,,,,,,,,,,,
100,Gnoster,Mountaintop,Minor Erdtree,,Smelter Demon,Draconic Tree Sentinel and Royal Cavalrymen,,Southwest Corner,Southeast Mountaintop,Banished Knights,Ruins - Perfumer,Ruins - Perfumer,Great Church - Fire Monk,,,,,Great Church - Oracle Envoys,Camp - Royal Army Knights,Fort - Guardian Golem,Ruins - Wormface,Ruins - Perfumer,Fort - Crystalians,Camp - Redmane Knights,Camp - Redmane Knights,Ruins - Wormface,Township - Township,Church - Normal,Small Camp - Guilty,,,Small Camp - Misbegotten,Church - Normal,Small Camp - Rats and Demi-Humans,Small Camp - Caravans,Sorcerer's Rise - Pool Reflection,Church - Normal,Banished Knights,,,,Grave Warden Duelist,Godskin Noble,Stoneskin Lords,Bell Bearing Hunter,Tree Sentinel,Leonine Misbegotten,Flying Dragon,,,,,Ulcerated Tree Spirit,Ancient Hero of Zamor,Night's Cavalry,Black Blade Kindred,,,,,,,,,,,
101,Gnoster,Mountaintop,Minor Erdtree,,Centipede Demon,Great Wyrm,,Northeast Corner,Southeast Mountaintop,Crucible Knights,Fort - Abductor Virgin,Ruins - Runebear,Camp - Leonine Misbegotten,,,,,Ruins - Beastmen of Farum Azula,Great Church - Mausoleum Knight,Great Church - Oracle Envoys,Camp - Leonine Misbegotten,Ruins - Runebear,Great Church - Oracle Envoys,Fort - Guardian Golem,Fort - Guardian Golem,Camp - Royal Army Knights,Church - Normal,Small Camp - Guilty,Township - Township,,,Church - Normal,Sorcerer's Rise - Windy Trees,Small Camp - Rats and Demi-Humans,Sorcerer's Rise - Withered Trees,Small Camp - Misbegotten,Church - Normal,Nox Warriors,,,,Crystalians,Grave Warden Duelist,Crucible Knight with Sword,Ancient Hero of Zamor,Death Rite Bird,Leonine Misbegotten,Flying Dragon,,,,,Royal Revenant,Ulcerated Tree Spirit,Draconic Tree Sentinel,Elder Lion,,,,,,,,,,,
102,Gnoster,Mountaintop,Below Summonwater Hawk,Day 1 Morgott Invasion,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,Southwest Mistwood,Southeast Mountaintop,Banished Knights,Fort - Abductor Virgin,Ruins - Ancient Heroes of Zamor,Great Church - Fire Monk,,,,,Ruins - Depraved Perfumer,Camp - Banished Knights,Ruins - Ancient Heroes of Zamor,Ruins - Depraved Perfumer,Fort - Guardian Golem,Camp - Banished Knights,Camp - Elder Lion,Great Church - Mausoleum Knight,Camp - Banished Knights,Church - Normal,Small Camp - Guilty,Small Camp - Soldiers,,,Sorcerer's Rise - Pool Reflection,Small Camp - Guilty,Church - Normal,Small Camp - Wandering Nobles,Small Camp - Soldiers,Church - Normal,Nox Warriors,,,,Godskin Apostle,Crystalians,Beastly Brigade,Black Knife Assassin,Bell Bearing Hunter,Flying Dragon,Golden Hippopotamus,,,,,Ancestor Spirit,Night's Cavalry,Royal Revenant,Royal Carian Knight,,,,,,,,,,,Southwest Corner
